SATISFIED,DISSATISFIED,UNCOMMITTED,
11-13 & 18-20 October 1991,32,61,7
8-10 & 15-17 November 1991,33,59,8
22-24 November 1991,30,61,9
29 Nov - 1 Dec & 6-8 Dec 1991,27,64,9
17-19 January 1992,21,42,37
31 Jan - 2 Feb 1992,27,45,28
14-16 February 1992,27,47,26
28 Feb - 1 March 1992,35,46,19
13-15 March 1992,37,47,16
27-29 March 1992,37,49,14
10-12 April 1992,35,50,15
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
1-3 May 1992,29,61,10
15-17 May 1992,30,60,10
29-31 May 1992,29,60,11
12-14 June 1992,27,63,10
26-28 June 1992,32,58,10
10-12 July 1992,24,68,8
24-26 July 1992,28,64,8
7-9 August 1992,27,63,10
21-23 August 1992,24,67,9
4-6 September 1992,29,62,9
18-20 September 1992,29,61,10
9-11 October 1992,31,59,10
23-25 October 1992,33,56,11
6-8 November 1992,35,54,11
20-22 November 1992,31,56,13
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
4-6 December 1992,34,58,8
11-13 December 1992,35,55,10
19-20 December 1992,32,59,9
22-24 January 1993,34,57,9
5-7 February 1993,26,63,11
12-14 February 1993,30,62,8
19-21 February 1993,29,61,10
26-28 February 1993,32,60,8
5-7 March 1993,29,61,10
10-11 March 1993,34,59,7
19-21 March 1993,41,50,9
2-4 April 1993,43,47,10
16-18 April 1993,43,45,12
30 April - 2 May 1993,40,48,12
14-16 May 1993,38,52,10
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
28-30 May 1993,32,57,11
11-13 June 1993,32,57,11
25-27 June 1993,30,60,10
9-11 July 1993,30,60,10
23-25 July 1993,29,60,11
6-8 August 1993,27,64,9
20-22 August 1993,17,74,9
3-5 September 1993,18,75,7
17-19 September 1993,21,70,9
24-26 September 1993,25,66,9
8-10 October 1993,22,68,10
22-24 October 1993,25,65,10
5-7 November 1993,26,65,9
19-21 November 1993,29,61,10
3-5 December 1993,26,65,9
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
17-19 December 1993,26,63,11
14-16 January 1994,34,55,11
28-30 January 1994,36,52,12
11-13 February 1994,32,57,11
25-27 February 1994,34,57,9
11-13 March 1994,35,52,13
25-27 March 1994,34,57,9
15-17 April 1994,37,52,11
29 April - 1 May 1994,35,52,13
13-15 May 1994,41,46,13
27-29 May 1994,34,54,12
10-12 June 1994,36,53,11
24-26 June 1994,33,59,8
8-10 July 1994,32,58,10
22-24 July 1994,29,62,9
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
5-7 August 1994,37,53,10
19-21 August 1994,33,56,11
2-4 September 1994,38,50,12
16-18 September 1994,43,46,11
23-25 September 1994,42,47,11
7-9 October 1994,41,51,8
21-23 October 1994,40,48,12
4-6 November 1994,41,51,8
18-20 November 1994,43,48,9
2-4 December 1994,39,53,8
16-18 December 1994,32,59,9
13-15 January 1995,35,54,11
27-29 January 1995,38,53,9
10-12 February 1995,32,58,10
24-26 February 1995,31,58,11
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
10-12 March 1995,32,58,10
24-26 March 1995,30,62,8
7-9 April 1995,34,57,9
21-23 April 1995,33,55,12
5-7 May 1995,36,53,11
19-21 May 1995,34,56,10
2-4 June 1995,35,56,9
16-18 June 1995,31,59,10
30 June - 2 July 1995,33,61,6
14-16 July 1995,33,57,10
28-30 July 1995,31,60,9
11-13 August 1995,31,59,10
25-27 August 1995,33,59,8
8-10 September 1995,32,61,7
22-24 September 1995,36,55,9
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
6-8 October 1995,33,56,11
20-22 October 1995,31,59,10
10-12 November 1995,35,54,11
24-26 November 1995,32,57,11
8-10 December 1995,30,58,12
15-17 December 1995,34,55,11
19-21 January 1996,33,57,10
2-4 February 1996,36,56,8
9-11 February 1996,36,54,10
16-18 February 1996,36,55,9
23-25 February 1996,36,57,7
28-29 February 1996,38,56,6
15-17 March 1996,45,12,43
29-31 March 1996,52,14,34
12-14 April 1996,55,13,32
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
26-28 April 1996,50,21,29
10-12 May 1996,67,14,19
24-26 May 1996,60,23,17
14-16 June 1996,53,30,17
28-30 June 1996,50,33,17
12-14 July 1996,58,29,13
26-28 July 1996,57,30,13
9-11 August 1996,48,38,14
23-25 August 1996,51,34,15
6-8 September 1996,53,35,12
20-22 September 1996,56,32,12
11-13 October 1996,55,32,13
25-27 October 1996,54,33,13
8-10 November 1996,55,31,14
22-24 November 1996,55,34,11
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
6-8 December 1996,51,35,14
13-15 December 1996,53,35,12
17-19 January 1997,50,36,14
31 Jan - 2 Feb 1997,52,34,14
14-16 February 1997,49,38,13
28 Feb - 2 March 1997,51,36,13
14-16 March 1997,52,35,13
4-6 April 1997,49,37,14
18-20 April 1997,44,43,13
2-4 May 1997,45,40,15
9-11 May 1997,41,43,16
16-18 May 1997,37,48,15
30 May - 1 June 1997,42,46,12
13-15 June 1997,42,44,14
27-29 June 1997,40,47,13
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
11-13 July 1997,40,48,12
25-27 July 1997,44,45,11
8-10 August 1997,42,46,12
22-24 August 1997,38,50,12
5-7 September 1997,42,47,11
19-21 September 1997,42,47,11
26-28 September 1997,36,51,13
10-12 October 1997,40,50,10
17-19 October 1997,31,56,13
24-26 October 1997,32,56,12
7-9 November 1997,33,56,11
21-23 November 1997,35,54,11
5-7 December 1997,36,54,10
16-18 January 1998,36,53,11
30 Jan - 1 Feb 1998,37,48,15
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
13-15 February 1998,43,46,11
27 Feb - 1 March 1998,40,49,11
13-15 March 1998,34,54,12
27-29 March 1998,35,53,12
17-19 April 1998,35,52,13
1-3 May 1998,37,51,12
15-17 May 1998,42,47,11
29-31 May 1998,39,50,11
12-14 June 1998,34,56,10
26-28 June 1998,28,59,13
10-12 July 1998,30,56,14
24-26 July 1998,30,57,13
7-9 August 1998,37,52,11
14-16 August 1998,42,46,12
28-30 August 1998,38,51,11
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
4-6 September 1998,41,47,12
11-13 September 1998,40,51,9
18-20 September 1998,45,46,9
25-27 September 1998,46,45,9
30 Sept - 1 Oct 1998,44,48,8
16-18 October 1998,51,39,10
30 Oct - 1 Nov 1998,45,42,13
13-15 November 1998,48,41,11
27-29 November 1998,45,41,14
11-13 December 1998,49,40,11
15-17 January 1999,50,36,14
29-31 January 1999,47,40,13
12-14 February 1999,50,36,14
26-28 February 1999,49,38,13
12-14 March 1999,47,40,13
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
26-28 March 1999,48,39,13
9-11 April 1999,50,38,12
30 April - 2 May 1999,43,44,13
14-16 May 1999,49,40,11
28-30 May 1999,46,43,11
18-20 June 1999,47,41,12
2-4 July 1999,50,39,11
16-18 July 1999,48,39,13
30 July - 1 Aug 1999,50,39,11
13-15 August 1999,49,40,11
27-29 August 1999,49,39,12
10-12 September 1999,51,39,10
24-26 September 1999,56,33,11
8-10 October 1999,57,32,11
22-24 October 1999,53,36,11
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
5-7 November 1999,57,32,11
19-21 November 1999,55,36,9
3-5 December 1999,55,34,11
17-19 December 1999,51,39,10
21-23 January 2000,50,40,10
4-6 February 2000,41,49,10
18-20 February 2000,41,48,11
3-5 March 2000,44,45,11
17-19 March 2000,38,53,9
31 March - 2 April 2000,45,46,9
14-16 April 2000,41,48,11
28-30 April 2000,42,46,12
12-14 May 2000,42,48,10
26-28 May 2000,43,46,11
16-18 June 2000,38,51,11
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
30 June - 2 July 2000,44,47,9
14-16 July 2000,45,45,10
28-30 July 2000,44,46,10
11-13 August 2000,44,43,13
25-27 August 2000,42,48,10
8-10 September 2000,39,50,11
22-24 September 2000,48,42,10
6-8 October 2000,47,43,10
20-22 October 2000,44,46,10
3-5 November 2000,38,50,12
17-19 November 2000,40,49,11
1-3 December 2000,40,50,10
15-17 December 2000,40,48,12
19-21 January 2001,45,43,12
9-11 February 2001,38,52,10
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
23-25 February 2001,31,59,10
9-11 March 2001,28,64,8
23-25 March 2001,31,61,8
6-8 April 2001,34,58,8
20-22 April 2001,35,55,10
4-6 May 2001,31,60,9
18-20 May 2001,34,56,10
25-27 May 2001,37,54,9
1-3 June 2001,35,56,9
15-17 June 2001,39,48,13
29 June - 1 July 2001,38,50,12
13-15 July 2001,39,51,10
27-29 July 2001,41,49,10
10-12 August 2001,41,50,9
24-26 August 2001,40,50,10
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
31 Aug-2 Sept 2001,50,40,10
7-9 September 2001,50,38,12
21-23 Sept 2001,61,31,8
5-7 October 2001,61,30,9
12-14 October 2001,58,32,10
19-21 October 2001,56,34,10
26-28 October 2001,57,34,9
2-4 November 2001,53,38,9
7-8 November 2001,54,38,8
14-16 December 2001,57,31,12
18-20 January 2002,58,32,10
8-10 February 2002,62,30,8
22-24 February 2002,49,41,10
8-10 March 2002,50,40,10
22-24 March 2002,46,42,12
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
5-7 April 2002,49,40,11
19-21 April 2002,48,39,13
3-5 May 2002,51,38,11
17-19 May 2002,52,38,10
31 May - 2 June 2002,48,38,14
21 - 23 June 2002,51,37,12
5-7 July 2002,51,38,11
19-21 July 2002,52,39,9
2-4 August 2002,54,37,9
16-18 August 2002,55,34,11
30 Aug - 1 Sept 2002,55,36,9
13-15 September 2002,53,35,12
27-29 September 2002,52,38,10
18-20 October 2002,62,30,8
1-3 November 2002,65,26,9
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
15-17 November 2002,60,31,9
29 Nov - 1 Dec 2002,58,31,11
13-15 December 2002,58,33,9
17-19 January 2003,56,34,10
31 Jan - 2 Feb 2003,56,37,7
14-16 February 2003,48,43,9
28 Feb - 2 Mar 2003,48,44,8
14-16 March 2003,48,43,9
21-23 March 2003,56,35,9
28-30 March 2003,58,33,9
11-13 April 2003,58,34,8
2-4 May 2003,59,33,8
16-18 May 2003,61,31,8
30 May - 1 Jun 2003,60,32,8
20-22 June 2003,61,30,9
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
4-6 July 2003,60,33,7
18-20 July 2003,55,36,9
1-3 August 2003,57,33,10
15-17 August 2003,57,31,12
29-31 August 2003,51,39,10
12-14 September 2003,55,37,8
26-28 September 2003,52,37,11
17-19 October 2003,50,39,11
31 Oct - 2 Nov 2003,53,35,12
14-16 November 2003,53,37,10
28-30 November 2003,58,33,9
5-7 December 2003,54,36,10
12-14 December 2003,54,35,11
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
16-18 January 2004,54,37,9
6-8 February 2004,54,37,9
20-22 February 2004,52,37,11
5-7 March 2004,51,41,8
19-21 March 2004,53,38,9
2-4 April 2004,51,42,7
16-18 April 2004,53,38,9
30 Apr - 2 May 2004,53,40,7
14-16 May 2004,54,38,8
28-30 May 2004,57,35,8
18-20 June 2004,53,37,10
2-4 July 2004,51,40,9
16-18 July 2004,51,40,9
30 Jul - 1 Aug 2004,54,36,10
13-15 August 2004,50,40,10
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
27-29 August 2004,49,42,9
3-5 September 2004,51,40,9
10-12 September 2004,53,39,8
17-19 September 2004,51,42,7
24-26 September 2004,50,39,11
1-3 October 2004,52,36,12
6-7 October 2004,53,41,6
19-21 November 2004,57,33,10
3-5 December 2004,56,35,9
17-19 December 2004,58,34,8
21-23 January 2005,60,30,10
4-6 February 2005,63,28,9
18-20 February 2005,58,32,10
4-6 March 2005,57,36,7
18-20 March 2005,57,37,6
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
1-3 April 2005,56,35,9
15-17 April 2005,49,41,10
29 April - 1 May 2005,51,38,11
13-15 May 2005,55,36,9
27-29 May 2005,53,36,11
17-17 June 2005,54,36,10
1-3 July 2005,47,44,9
15-17 July 2005,49,40,11
29-31 July 2005,52,37,11
12-14 August 2005,50,39,11
26-28 August 2005,52,40,8
9-11 September 2005,48,43,9
23-25 September 2005,47,40,13
7-9 October 2005,50,41,9
21-23 October 2005,43,45,12
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
4-6 November 2005,41,50,9
18-20 November 2005,43,48,9
2-4 December 2005,42,48,10
16-18 December 2005,43,46,11
13-15 January 2006,51,40,9
27-29 January 2006,51,39,10
10-12 February 2006,45,47,8
24-26 February 2006,46,43,11
10-12 March 2006,52,37,11
24-26 March 2006,53,39,8
7-9 April 2006,47,45,8
28-30 April 2006,47,44,9
12-14 May 2006,49,39,12
26-28 May 2006,48,42,10
16-18 June 2006,50,42,8
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
30 June - 2 July 2006,43,47,10
14-16 July 2006,47,43,10
28-30 July 2006,50,39,11
11-13 August 2006,47,43,10
25-27 August 2006,49,42,9
8-10 September 2006,45,45,10
22-24 September 2006,47,41,12
13-15 October 2006,47,44,9
27-29 October 2006,48,43,9
10-12 November 2006,49,43,8
24-26 November 2006,46,44,10
8-10 December 2006,46,43,11
19-21 January 2007,46,43,11
2-4 February 2007,44,44,12
16-18 February 2007,44,46,10
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
2-4 March 2007,42,49,9
16-18 March 2007,41,50,9
30 March-1 April 2007,44,48,8
13-15 April 2007,42,49,9
27-29 April 2007,42,49,9
11-13 May 2007,45,46,9
25-27 May 2007,44,47,9
15-17 June 2007,45,45,10
6-8 July 2007,46,44,10
20-22 July 2007,45,44,11
3-5 August 2007,46,43,11
17-19 August 2007,43,45,12
31 August-2 September 2007,46,44,10
14-16 September 2007,45,44,11
28-30 September 2007,44,45,11
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
12-14 October 2007,47,44,9
19-21 October 2007,43,46,11
26-28 October 2007,47,46,7
2-4 November 2007,49,45,6
9-11 November 2007,46,47,7
16-18 November 2007,47,46,7
20-22 November 2007,51,45,4
18-20 January 2008,59,11,30
15-17 February 2008,68,13,19
29 February - 2 March 2008,69,12,19
14-16 March 2008,65,17,18
4-6 April 2008,69,13,18
18-20 April 2008,71,15,14
2-4 May 2008,68,17,15
16-18 May 2008,63,23,14
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
30 May - 1 June 2008,56,30,14
13-15 June 2008,59,25,16
27-29 June 2008,54,32,14
11-13 July 2008,55,30,15
25-27 July 2008,58,29,13
8-10 August 2008,58,29,13
22-24 August 2008,57,32,11
5-7 September 2008,54,32,14
19-21 September 2008,50,37,13
10-12 October 2008,56,32,12
24-26 October 2008,65,26,9
7-9 November 2008,65,21,14
21-23 November 2008,67,20,13
5-7 December 2008,70,21,9
16-18 January 2009,63,25,12
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
6-8 February 2009,63,26,11
20-22 February 2009,66,24,10
6-8 March 2009,63,27,10
20-22 March 2009,63,26,11
3-5 April 2009,68,21,11
17-19 April 2009,66,25,9
1-3 May 2009,64,26,10
15-17 May 2009,58,31,11
29-31 May 2009,56,33,11
12-14 June 2009,58,31,11
26-28 June 2009,59,30,11
10-12 July 2009,61,28,11
24-26 July 2009,63,26,11
7-9 August 2009,60,28,12
21-23 August 2009,61,29,10
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
4-6 September 2009,64,26,10
18-20 September 2009,65,24,11
28 September - 1 October 2009,67,24,9
16-18 October 2009,63,28,9
30 October - 1 November 2009,59,32,9
13-15 November 2009,56,34,10
27-29 November 2009,56,34,10
4-6 December 2009,58,32,10
15-17 January 2010,52,34,14
29-31 January 2010,50,38,12
12-14 February 2010,50,40,10
26-28 February 2010,51,40,9
12-14 March 2010,48,41,11
26-28 March 2010,51,39,10
16-18 April 2010,50,41,9
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
30 April-2 May 2010,39,50,11
14-16 May 2010,39,51,10
28-30 May 2010,36,54,10
18-20 June 2010,36,55,9
16-18 July 2010,48,29,23
23-25 July 2010,41,37,22
30 July - 1 Aug 2010,42,40,18
6-8 August 2010,43,41,16
13-15 August 2010,44,38,18
17-19 August 2010,44,43,13
10-12 September 2010,44,36,20
8-10 October 2010,48,33,19
22-24 October 2010,44,37,19
5-7 November 2010,41,41,18
19-21 November 2010,46,37,17
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
3-5 December 2010,45,38,17
4-6 February 2011,45,42,13
18-20 February 2011,50,39,11
4-6 March 2011,39,51,10
18-20 March 2011,40,47,13
1-3 April 2011,39,49,12
29 April - 1 May 2011,38,49,13
13-15 May 2011,34,55,11
27-29 May 2011,35,54,11
10-12 June 2011,30,55,15
24-26 June 2011,28,62,10
8-10 July 2011,30,59,11
22-24 July 2011,32,59,9
5-7 August 2011,33,58,9
19-21 August 2011,29,61,10
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
2-4 September 2011,23,68,9
16-18 September 2011,27,61,12
7-9 October 2011,28,60,12
21-23 October 2011,31,61,8
3-6 November 2011,30,60,10
18-20 November 2011,34,55,11
2-4 December 2011,36,56,8
27-29 January 2012,33,55,12
10-12 February 2012,32,57,11
23-26 February 2012,26,64,10
9-11 March 2012,28,62,10
23-25 March 2012,31,58,11
13-15 April 2012,28,62,10
27-29 April 2012,28,63,9
11-13 May 2012,27,63,10
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
25-27 May 2012,30,60,10
7-10 June 2012,32,58,10
22-24 June 2012,30,59,11
6-8 July 2012,27,61,12
20-22 July 2012,29,62,9
3-5 August 2012,29,59,12
17-19 August 2012,27,60,13
31 August - 2 September 2012,31,57,12
14-16 September 2012,36,52,12
5-7 October 2012,36,50,14
26-28 October 2012,35,51,14
9-11 November 2012,37,52,11
23-25 November 2012,37,52,11
7-9 December 2012,36,52,12
11-13 January 2013,38,49,13
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
1-3 February 2013,36,52,12
22-24 February 2013,30,58,12
8-10 March 2013,32,57,11
22-24 March 2013,26,65,9
5-7 April 2013,28,62,10
19-21 April 2013,30,60,10
3-5 May 2013,29,61,10
17-19 May 2013,31,59,10
31 May - 2 June 2013,28,62,10
21-23 June 2013,28,62,10
28-30 June 2013,36,36,28
5-7 July 2013,43,36,21
19-21 July 2013,42,41,17
2-4 August 2013,38,47,15
9-11 August 2013,39,48,13
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
16-18 August 2013,35,54,11
23-25 August 2013,36,52,12
30 August - 1 September 2013,32,58,10
3-5 September 2013,33,58,9
25-27 October 2013,47,34,19
8-10 November 2013,45,38,17
22-24 November 2013,42,42,16
6-8 December 2013,40,45,15
7-9 February 2014,40,45,15
21-23 February 2014,36,52,12
7-9 March 2014,38,50,12
21-23 March 2014,40,50,10
4-6 April 2014,40,47,13
2-4 May 2014,35,56,9
16-18 May 2014,30,60,10
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
30 May - 1 June 2014,33,59,8
13-15 June 2014,30,61,9
27-29 June 2014,31,62,7
11-13 July 2014,31,60,9
25-27 July 2014,36,53,11
8-10 August 2014,36,54,10
22-24 August 2014,36,55,9
5-7 September 2014,35,54,11
19-21 September 2014,41,52,7
17-19 October 2014,38,53,9
31 October - 2 November 2014,37,52,11
14-16 November 2014,36,55,9
28-30 November 2014,33,57,10
12-14 December 2014,33,58,9
6-8 February 2015,24,68,8
,SATISFIED,DISSATISFIED,UNCOMMITTED
,%,%,%
20-22 February 2015,25,68,7
6-8 March 2015,28,63,9
20-22 March 2015,29,61,10
